Status,Date,Description,Debit,Credit
Cleared,1/31/2025,"ONLINE PAYMENT, THANK YOU",,-23.6
Cleared,1/31/2025,TST* MOKAS COFFEE - WI WICHITA KS,7.64,
Cleared,1/30/2025,PROMISE THAI CUISINE WICHITA KS,16.38,
Cleared,1/29/2025,CTLP*Premier Food Serv WICHITA AR,4.36,
Cleared,1/29/2025,Kindle Svcs*Z72PJ9XV2 888-802-3080 WA null XXXXXXXXXXXX2026,10.64,
Cleared,1/28/2025,"ONLINE PAYMENT, THANK YOU",,-107.11
Cleared,1/28/2025,KTA WEB/MOBILE PAYMQPS WICHITA KS,8.6,
Cleared,1/26/2025,SQ *COFFEE DAZE Wichita KS,7.45,
Cleared,1/26/2025,WAL-MART #1507 WICHITA KS,71.18,
Cleared,1/26/2025,Kindle Svcs*Z74HY0FK2 888-802-3080 WA null XXXXXXXXXXXX2026,6.57,
Cleared,1/26/2025,TST* MOKAS COFFEE - WI WICHITA KS,7.95,
Cleared,1/25/2025,"ONLINE PAYMENT, THANK YOU",,-27.52
Cleared,1/25/2025,TACO BELL 700204 WICHITA KS null XXXXXXXXXXXX7433,6.44,
Cleared,1/24/2025,SQ *FAIRMOUNT COFFEE C Wichita KS,7.52,
Cleared,1/24/2025,Kindle Svcs*ZC9ZM7S12 888-802-3080 WA null XXXXXXXXXXXX2026,14.9,
Cleared,1/24/2025,TST* MOKAS COFFEE - WI WICHITA KS,5.9,
Cleared,1/23/2025,"ONLINE PAYMENT, THANK YOU",,-29.54
Cleared,1/23/2025,TST* MOKAS COFFEE - WI WICHITA KS,6.72,
Cleared,1/22/2025,Kindle Svcs*Z53NK77U1 888-802-3080 WA null XXXXXXXXXXXX2026,4.25,
Cleared,1/21/2025,"ONLINE PAYMENT, THANK YOU",,-181.12
Cleared,1/21/2025,Kindle Unltd*Z579Y7271 888-802-3080 WA null XXXXXXXXXXXX2026,12.77,
Cleared,1/20/2025,STARBUCKS STORE 02857 WICHITA KS,6.64,
Cleared,1/20/2025,STARBUCKS STORE 02857 WICHITA KS,2.85,
Cleared,1/20/2025,WM SUPERCENTER #1507 WICHITA KS,3.03,
Cleared,1/20/2025,TST* MOKAS COFFEE - WI WICHITA KS,6.42,
Cleared,1/19/2025,TRADER JOE S #729 WICHITA KS,68.75,
Cleared,1/19/2025,TST* MOKAS COFFEE - WI WICHITA KS,11.8,
Cleared,1/18/2025,"ONLINE PAYMENT, THANK YOU",,-5.61
Cleared,1/18/2025,Kindle Svcs*Z59YI5T71 888-802-3080 WA null XXXXXXXXXXXX2026,12.77,
